naam,naam_lang,code,type,land,uic_code,eva_code,lat,lng
Blerick,Blerick,BR,STOPTREIN_STATION,NL,8400117,8400117,51.372501373291,6.15500020980835
Bloemendl,Bloemendaal,BLL,STOPTREIN_STATION,NL,8400118,8400118,52.404167175293,4.62750005722046
Bodegraven,Bodegraven,BDG,STOPTREIN_STATION,NL,8400121,8400121,52.0813903808594,4.7461109161377
Borne,Borne,BN,STOPTREIN_STATION,NL,8400124,8400124,52.2988891601562,6.74805545806885
Boskoop,Boskoop,BSK,STOPTREIN_STATION,NL,8400125,8400125,52.0777778625488,4.64694452285767
Snijdelwk,Boskoop Snijdelwijk,BSKS,STOPTREIN_STATION,NL,8400126,8400126,52.067658,4.646186
Bovenk-Gr,Bovenkarspel-Grootebroek,BKG,STOPTREIN_STATION,NL,8400127,8400127,52.6949996948242,5.23777770996094
Boxmeer,Boxmeer,BMR,KNOOPPUNT_STOPTREIN_STATION,NL,8400128,8400128,51.6445217676531,5.93903303146362
Boxtel,Boxtel,BTL,KNOOPPUNT_STOPTREIN_STATION,NL,8400129,8400129,51.58433,5.31912
Breda,Breda,BD,KNOOPPUNT_INTERCITY_STATION,NL,8400131,8400131,51.5955543518066,4.78000020980835
Prinsenbk,Breda-Prinsenbeek,BDPB,STOPTREIN_STATION,NL,8400132,8400132,51.606388092041,4.72083330154419
Breukelen,Breukelen,BKL,KNOOPPUNT_STOPTREIN_STATION,NL,8400133,8400133,52.17149,4.9906
Lansingerl,Lansingerland-Zoetermeer,LLZM,STOPTREIN_STATION,NL,8400135,8400135,52.042222,4.517222
Brummen,Brummen,BMN,STOPTREIN_STATION,NL,8400136,8400136,52.0911102294922,6.14694452285767
Buitenpost,Buitenpost,BP,KNOOPPUNT_SNELTREIN_STATION,NL,8400139,8400139,53.2564547,6.1446496
Bunde,Bunde,BDE,STOPTREIN_STATION,NL,8400140,8400140,50.8969459533691,5.73666667938232
Bunnik,Bunnik,BNK,STOPTREIN_STATION,NL,8400141,8400141,52.0630569458008,5.19444465637207
Bussum Z,Bussum Zuid,BSMZ,STOPTREIN_STATION,NL,8400145,8400145,52.2658348083496,5.16305541992188
Schollevr,Capelle Schollevaar,CPS,STOPTREIN_STATION,NL,8400147,8400147,51.9541664123535,4.58416652679443
Castricum,Castricum,CAS,INTERCITY_STATION,NL,8400151,8400151,52.5458335876465,4.65861129760742
Chevremont,Chevremont,CVM,STOPTREIN_STATION,NL,8400152,8400152,50.8761100769043,6.05972242355347
Coevorden,Coevorden,CO,KNOOPPUNT_SNELTREIN_STATION,NL,8400153,8400153,52.6636123657227,6.73555564880371
Culemborg,Culemborg,CL,STOPTREIN_STATION,NL,8400154,8400154,51.9466667175293,5.22694444656372
Cuijk,Cuijk,CK,STOPTREIN_STATION,NL,8400155,8400155,51.7266825879048,5.87429523468017
Dalen,Dalen,DLN,STOPTREIN_STATION,NL,8400161,8400161,52.6941680908203,6.75805568695068
Diemen Z,Diemen Zuid,DMNZ,STOPTREIN_STATION,NL,8400163,8400163,52.3302764892578,4.95583343505859
Daarlervn,Daarlerveen,DA,STOPTREIN_STATION,NL,8400164,8400164,52.4407702,6.5759947
Diemen,Diemen,DMN,STOPTREIN_STATION,NL,8400165,8400165,52.34515,4.967566
Delft Z,Delft Zuid,DTZ,STOPTREIN_STATION,NL,8400166,8400166,51.9908332824707,4.36472225189209
Dalfsen,Dalfsen,DL,SNELTREIN_STATION,NL,8400167,8400167,52.4983329772949,6.25861120223999
Deinum,Deinum,DEI,STOPTREIN_STATION,NL,8400168,8400168,53.1888115,5.7281572
Delden,Delden,DDN,STOPTREIN_STATION,NL,8400169,8400169,52.2599983215332,6.7161111831665
Delft,Delft,DT,KNOOPPUNT_INTERCITY_STATION,NL,8400170,8400170,52.0066680908203,4.35638904571533
Delfzijl,Delfzijl,DZ,STOPTREIN_STATION,NL,8400171,8400171,53.3336625,6.9240797
Deurne,Deurne,DN,STOPTREIN_STATION,NL,8400172,8400172,51.4558334350586,5.78888893127441
Deventer,Deventer,DV,KNOOPPUNT_INTERCITY_STATION,NL,8400173,8400173,52.2574996948242,6.16055536270142
Didam,Didam,DID,STOPTREIN_STATION,NL,8400174,8400174,51.933502,6.1324106
Delfzijl W,Delfzijl West,DZW,STOPTREIN_STATION,NL,8400175,8400175,53.3320834,6.9069092
Dieren,Dieren,DR,INTERCITY_STATION,NL,8400176,8400176,52.0449981689453,6.10305547714233
Doetinchem,Doetinchem,DTC,KNOOPPUNT_STOPTREIN_STATION,NL,8400177,8400177,51.9585962,6.2962148
Den Dolder,Den Dolder,DLD,KNOOPPUNT_STOPTREIN_STATION,NL,8400179,8400179,52.1402778625488,5.24277782440186
Dordrecht,Dordrecht,DDR,KNOOPPUNT_INTERCITY_STATION,NL,8400180,8400180,51.8072204589844,4.66833353042603
Dordrcht Z,Dordrecht Zuid,DDZD,STOPTREIN_STATION,NL,8400181,8400181,51.7900009155273,4.67138910293579
Driebergen,Driebergen-Zeist,DB,KNOOPPUNT_STOPTREIN_STATION,NL,8400182,8400182,52.0652770996094,5.25861120223999
Driehuis,Driehuis,DRH,STOPTREIN_STATION,NL,8400183,8400183,52.4425010681152,4.63805532455444
De Huet,Doetinchem De Huet,DTCH,STOPTREIN_STATION,NL,8400184,8400184,51.9591413,6.2598521
Colmschate,Deventer Colmschate,DVC,STOPTREIN_STATION,NL,8400185,8400185,52.2502784729004,6.21444463729858
Stadspldrs,Dordrecht Stadspolders,DDRS,STOPTREIN_STATION,NL,8400186,8400186,51.801944732666,4.71666669845581
De Vink,De Vink,DVNK,STOPTREIN_STATION,NL,8400188,8400188,52.1472206115723,4.4563889503479
Dronryp,Dronryp,DRP,STOPTREIN_STATION,NL,8400192,8400192,53.1778086,5.6347411
Duiven,Duiven,DVN,STOPTREIN_STATION,NL,8400193,8400193,51.9433326721191,6.01472234725952
Duivendrt,Duivendrecht,DVD,KNOOPPUNT_STOPTREIN_STATION,NL,8400194,8400194,52.3233337402344,4.93638896942139
Echt,Echt,EC,STOPTREIN_STATION,NL,8400195,8400195,51.1005554199219,5.87888908386231
Strijp-S,Eindhoven Strijp-S,EHS,STOPTREIN_STATION,NL,8400196,8400196,51.4511108398438,5.45583343505859
Dronten,Dronten,DRON,STOPTREIN_STATION,NL,8400198,8400198,52.5344,5.72089
Ede-Wag,Ede-Wageningen,ED,KNOOPPUNT_INTERCITY_STATION,NL,8400200,8400200,52.0277786254883,5.67305564880371
Ede C,Ede Centrum,EDC,STOPTREIN_STATION,NL,8400201,8400201,52.0436096191406,5.66833353042603
Eemshaven,Eemshaven,EEM,STOPTREIN_STATION,NL,8400202,8400202,53.458419,6.832
Eindhoven,Eindhoven,EHV,MEGA_STATION,NL,8400206,8400206,51.4433326721191,5.48138904571533
Elst,Elst,EST,KNOOPPUNT_STOPTREIN_STATION,NL,8400207,8400207,51.9169425964355,5.85500001907349
Emmen,Emmen,EMN,SNELTREIN_STATION,NL,8400208,8400208,52.7900009155273,6.89944458007812
Enkhuizen,Enkhuizen,EKZ,STOPTREIN_STATION,NL,8400210,8400210,52.6991653442383,5.28638887405396
Enschede,Enschede,ES,KNOOPPUNT_INTERCITY_STATION,NL,8400212,8400212,52.2224998474121,6.8899998664856
Ermelo,Ermelo,EML,STOPTREIN_STATION,NL,8400216,8400216,52.3016662597656,5.61472225189209
Eschmarke,Enschede De Eschmarke,ESE,STOPTREIN_STATION,NL,8400217,8400012,52.2213897705078,6.95111131668091
Etten-Leur,Etten-Leur,ETN,INTERCITY_STATION,NL,8400218,8400218,51.5750007629395,4.63583326339722
Eijsden,Eijsden,EDN,STOPTREIN_STATION,NL,8400219,8400219,50.7719459533691,5.71000003814697
Kennispark,Enschede Kennispark,ESK,STOPTREIN_STATION,NL,8400221,8400213,52.2374992370605,6.83888912200928
Oostvaard,Almere Oostvaarders,ALMO,STOPTREIN_STATION,NL,8400226,8400024,52.4033317565918,5.30055570602417
Arnhem Z,Arnhem Zuid,AHZ,STOPTREIN_STATION,NL,8400227,8400029,51.9550018310547,5.85194444656372
Vathorst,Amersfoort Vathorst,AVAT,STOPTREIN_STATION,NL,8400228,8400031,52.1927795410156,5.43388891220093
Osseveld,Apeldoorn Osseveld,APDO,STOPTREIN_STATION,NL,8400229,8400033,52.2152786254883,6.00444459915161
Bovenk Flo,Bovenkarspel Flora,BKF,STOPTREIN_STATION,NL,8400230,8400230,52.6961097717285,5.25277757644653
Holendrcht,Amsterdam Holendrecht,ASHD,STOPTREIN_STATION,NL,8400231,8400076,52.29844,4.95972
Franeker,Franeker,FN,STOPTREIN_STATION,NL,8400232,8400232,53.1824488,5.5483094
De Maten,Apeldoorn De Maten,APDM,STOPTREIN_STATION,NL,8400233,8400032,52.2052764892578,6.00055551528931
Eygelsh M,Eygelshoven Markt,EGHM,STOPTREIN_STATION,NL,8400234,8400043,50.8960498196442,6.0602474212646396
Scienceprk,Amsterdam Science Park,ASSP,STOPTREIN_STATION,NL,8400235,8400083,52.35526,4.94651
Boven-Har,Boven-Hardinxveld,BHDV,STOPTREIN_STATION,NL,8400236,8400098,51.832222,4.878056
Europapark,Groningen Europapark,GERP,STOPTREIN_STATION,NL,8400238,8400042,53.20480027,6.5854178
Gaanderen,Gaanderen,GDR,STOPTREIN_STATION,NL,8400241,8400034,51.93074,6.3486
