from_eva,to_eva,traveltime,naam_from,naam_to
8400454,8400176,104,Nieuw Amsterdam,Dieren
8400457,8400176,169,Bad Nieuweschans,Dieren
8400470,8400176,29,Nijmegen,Dieren
8400487,8400176,74,Ommen,Dieren
8400495,8400176,47,Oss,Dieren
8400507,8400176,85,Rotterdam Alexander,Dieren
8400508,8400176,130,Purmerend,Dieren
8400517,8400176,91,Rhenen,Dieren
8400523,8400176,122,Roermond,Dieren
8400526,8400176,116,Roosendaal,Dieren
8400530,8400176,93,Rotterdam Centraal,Dieren
8400548,8400176,166,Landgraaf,Dieren
8400561,8400176,95,Schiphol Airport,Dieren
8400564,8400176,138,Sittard,Dieren
8400566,8400176,141,Sneek,Dieren
8400567,8400176,81,Soest,Dieren
8400578,8400176,81,Steenwijk,Dieren
8400596,8400176,56,Tiel,Dieren
8400597,8400176,79,Tilburg,Dieren
8400606,8400176,56,Utrecht Vaartsche Rijn,Dieren
8400615,8400176,125,Uitgeest,Dieren
8400620,8400176,65,Utrecht Overvecht,Dieren
8400621,8400176,46,Utrecht Centraal,Dieren
8400627,8400176,83,Veenendaal Centrum,Dieren
8400632,8400176,172,Valkenburg,Dieren
8400644,8400176,104,Venlo,Dieren
8400646,8400176,80,Venray,Dieren
8400652,8400176,181,Vlissingen,Dieren
8400684,8400176,108,Weert,Dieren
8400685,8400176,98,Weesp,Dieren
8400691,8400176,65,Wierden,Dieren
8400696,8400176,155,Winschoten,Dieren
8400698,8400176,47,Winterswijk,Dieren
8400702,8400176,79,Woerden,Dieren
8400731,8400176,94,Zaandam,Dieren
8400735,8400176,32,Zevenaar,Dieren
8400741,8400176,88,Zoetermeer,Dieren
8400742,8400176,144,Zuidbroek,Dieren
8400744,8400176,9,Zutphen,Dieren
8400747,8400176,47,Zwolle,Dieren
8400050,8400177,142,Alkmaar,Doetinchem
8400051,8400177,110,Almelo,Doetinchem
8400053,8400177,119,Alphen a/d Rijn,Doetinchem
8400055,8400177,99,Amersfoort,Doetinchem
8400057,8400177,93,Amsterdam Amstel,Doetinchem
8400058,8400177,102,Amsterdam Centraal,Doetinchem
8400059,8400177,111,Amsterdam Sloterdijk,Doetinchem
8400061,8400177,100,Amsterdam Zuid,Doetinchem
8400066,8400177,91,Apeldoorn,Doetinchem
8400071,8400177,34,Arnhem Centraal,Doetinchem
8400073,8400177,151,Assen,Doetinchem
8400074,8400177,90,Amsterdam Bijlmer ArenA,Doetinchem
8400080,8400177,127,Almere Centrum,Doetinchem
8400086,8400177,118,Baarn,Doetinchem
8400093,8400177,167,Emmen Zuid,Doetinchem
8400095,8400177,225,Veendam,Doetinchem
8400113,8400177,144,Beverwijk,Doetinchem
8400128,8400177,81,Boxmeer,Doetinchem
8400129,8400177,119,Boxtel,Doetinchem
8400131,8400177,121,Breda,Doetinchem
8400133,8400177,99,Breukelen,Doetinchem
8400139,8400177,200,Buitenpost,Doetinchem
8400151,8400177,131,Castricum,Doetinchem
8400153,8400177,155,Coevorden,Doetinchem
8400167,8400177,126,Dalfsen,Doetinchem
8400170,8400177,132,Delft,Doetinchem
8400173,8400177,81,Deventer,Doetinchem
8400176,8400177,57,Dieren,Doetinchem
8400179,8400177,99,Den Dolder,Doetinchem
8400180,8400177,147,Dordrecht,Doetinchem
8400182,8400177,64,Driebergen-Zeist,Doetinchem
8400194,8400177,103,Duivendrecht,Doetinchem
8400200,8400177,48,Ede-Wageningen,Doetinchem
8400206,8400177,114,Eindhoven,Doetinchem
8400207,8400177,51,Elst,Doetinchem
8400208,8400177,171,Emmen,Doetinchem
8400212,8400177,121,Enschede,Doetinchem
8400218,8400177,135,Etten-Leur,Doetinchem
8400244,8400177,103,Geldermalsen,Doetinchem
8400245,8400177,133,Geldrop,Doetinchem
8400256,8400177,147,Gorinchem,Doetinchem
8400258,8400177,97,Gouda,Doetinchem
8400263,8400177,168,Groningen,Doetinchem
8400280,8400177,123,Den Haag HS,Doetinchem
8400282,8400177,116,Den Haag Centraal,Doetinchem
8400285,8400177,125,Haarlem,Doetinchem
8400293,8400177,147,Hardenberg,Doetinchem
8400294,8400177,136,Harderwijk,Doetinchem
8400302,8400177,137,Heemstede-Aerdenhout,Doetinchem
8400305,8400177,154,Heerenveen,Doetinchem
8400306,8400177,155,Heerhugowaard,Doetinchem
8400307,8400177,182,Heerlen,Doetinchem
8400311,8400177,182,Den Helder,Doetinchem
8400313,8400177,140,Helmond,Doetinchem
8400316,8400177,110,Hengelo,Doetinchem
8400319,8400177,87,'s-Hertogenbosch,Doetinchem
8400322,8400177,97,Hilversum,Doetinchem
8400331,8400177,196,Hoogezand-Sappemeer,Doetinchem
8400337,8400177,146,Hoorn,Doetinchem
8400340,8400177,87,Houten,Doetinchem
8400355,8400177,223,Kerkrade Centrum,Doetinchem
8400364,8400177,127,Zaandijk Zaanse Schans,Doetinchem
8400380,8400177,132,Den Haag Laan v NOI,Doetinchem
8400382,8400177,162,Lage Zwaluwe,Doetinchem
8400387,8400177,170,Leeuwarden,Doetinchem
8400390,8400177,125,Leiden Centraal,Doetinchem
8400394,8400177,139,Lelystad Centrum,Doetinchem
8400417,8400177,81,Maarn,Doetinchem
8400424,8400177,190,Maastricht,Doetinchem
8400426,8400177,196,Maastricht Randwyck,Doetinchem
8400428,8400177,140,Mariënberg,Doetinchem
8400434,8400177,206,Meerssen,Doetinchem
8400435,8400177,130,Meppel,Doetinchem
8400452,8400177,106,Naarden-Bussum,Doetinchem
8400454,8400177,163,Nieuw Amsterdam,Doetinchem
8400457,8400177,228,Bad Nieuweschans,Doetinchem
8400470,8400177,53,Nijmegen,Doetinchem
8400487,8400177,133,Ommen,Doetinchem
8400495,8400177,75,Oss,Doetinchem
8400507,8400177,113,Rotterdam Alexander,Doetinchem
8400508,8400177,143,Purmerend,Doetinchem
8400517,8400177,119,Rhenen,Doetinchem
8400523,8400177,138,Roermond,Doetinchem
8400526,8400177,144,Roosendaal,Doetinchem
8400530,8400177,121,Rotterdam Centraal,Doetinchem
8400548,8400177,194,Landgraaf,Doetinchem
8400561,8400177,108,Schiphol Airport,Doetinchem
8400564,8400177,163,Sittard,Doetinchem
8400566,8400177,200,Sneek,Doetinchem
8400567,8400177,109,Soest,Doetinchem
8400578,8400177,140,Steenwijk,Doetinchem
8400596,8400177,79,Tiel,Doetinchem
8400597,8400177,107,Tilburg,Doetinchem
8400606,8400177,80,Utrecht Vaartsche Rijn,Doetinchem
8400615,8400177,138,Uitgeest,Doetinchem
8400620,8400177,82,Utrecht Overvecht,Doetinchem
8400621,8400177,72,Utrecht Centraal,Doetinchem
8400627,8400177,93,Veenendaal Centrum,Doetinchem
8400632,8400177,200,Valkenburg,Doetinchem
8400644,8400177,112,Venlo,Doetinchem
8400646,8400177,93,Venray,Doetinchem
8400652,8400177,209,Vlissingen,Doetinchem
8400684,8400177,136,Weert,Doetinchem
8400685,8400177,113,Weesp,Doetinchem
8400691,8400177,124,Wierden,Doetinchem
8400696,8400177,214,Winschoten,Doetinchem
8400698,8400177,31,Winterswijk,Doetinchem
8400702,8400177,92,Woerden,Doetinchem
8400731,8400177,117,Zaandam,Doetinchem
8400735,8400177,20,Zevenaar,Doetinchem
8400741,8400177,116,Zoetermeer,Doetinchem
8400742,8400177,203,Zuidbroek,Doetinchem
8400744,8400177,68,Zutphen,Doetinchem
8400747,8400177,106,Zwolle,Doetinchem
8400050,8400179,81,Alkmaar,Den Dolder
8400051,8400179,81,Almelo,Den Dolder
8400053,8400179,54,Alphen a/d Rijn,Den Dolder
8400055,8400179,7,Amersfoort,Den Dolder
8400057,8400179,35,Amsterdam Amstel,Den Dolder
8400058,8400179,43,Amsterdam Centraal,Den Dolder
8400059,8400179,53,Amsterdam Sloterdijk,Den Dolder
8400061,8400179,52,Amsterdam Zuid,Den Dolder
8400066,8400179,43,Apeldoorn,Den Dolder
8400071,8400179,48,Arnhem Centraal,Den Dolder
8400073,8400179,112,Assen,Den Dolder
8400074,8400179,40,Amsterdam Bijlmer ArenA,Den Dolder
8400080,8400179,56,Almere Centrum,Den Dolder
8400086,8400179,18,Baarn,Den Dolder
8400093,8400179,128,Emmen Zuid,Den Dolder
8400095,8400179,186,Veendam,Den Dolder
8400113,8400179,84,Beverwijk,Den Dolder
8400128,8400179,106,Boxmeer,Den Dolder
8400129,8400179,69,Boxtel,Den Dolder
8400131,8400179,88,Breda,Den Dolder
8400133,8400179,34,Breukelen,Den Dolder
8400139,8400179,161,Buitenpost,Den Dolder
8400151,8400179,73,Castricum,Den Dolder
8400153,8400179,116,Coevorden,Den Dolder
8400167,8400179,87,Dalfsen,Den Dolder
8400170,8400179,69,Delft,Den Dolder
8400173,8400179,54,Deventer,Den Dolder
8400176,8400179,69,Dieren,Den Dolder
8400177,8400179,99,Doetinchem,Den Dolder
8400180,8400179,82,Dordrecht,Den Dolder
8400182,8400179,30,Driebergen-Zeist,Den Dolder
8400194,8400179,55,Duivendrecht,Den Dolder
8400200,8400179,48,Ede-Wageningen,Den Dolder
8400206,8400179,71,Eindhoven,Den Dolder
8400207,8400179,63,Elst,Den Dolder
8400208,8400179,132,Emmen,Den Dolder
8400212,8400179,101,Enschede,Den Dolder
8400218,8400179,102,Etten-Leur,Den Dolder
8400244,8400179,49,Geldermalsen,Den Dolder
8400245,8400179,83,Geldrop,Den Dolder
8400256,8400179,82,Gorinchem,Den Dolder
8400258,8400179,34,Gouda,Den Dolder
8400263,8400179,129,Groningen,Den Dolder
8400280,8400179,60,Den Haag HS,Den Dolder
8400282,8400179,53,Den Haag Centraal,Den Dolder
8400285,8400179,66,Haarlem,Den Dolder
8400293,8400179,108,Hardenberg,Den Dolder
8400294,8400179,37,Harderwijk,Den Dolder
8400302,8400179,73,Heemstede-Aerdenhout,Den Dolder
8400305,8400179,115,Heerenveen,Den Dolder
8400306,8400179,92,Heerhugowaard,Den Dolder
8400307,8400179,146,Heerlen,Den Dolder
8400311,8400179,122,Den Helder,Den Dolder
8400313,8400179,90,Helmond,Den Dolder
8400316,8400179,93,Hengelo,Den Dolder
8400319,8400179,50,'s-Hertogenbosch,Den Dolder
8400322,8400179,29,Hilversum,Den Dolder
8400331,8400179,157,Hoogezand-Sappemeer,Den Dolder
8400337,8400179,81,Hoorn,Den Dolder
8400340,8400179,29,Houten,Den Dolder
8400355,8400179,160,Kerkrade Centrum,Den Dolder
8400364,8400179,73,Zaandijk Zaanse Schans,Den Dolder
8400380,8400179,69,Den Haag Laan v NOI,Den Dolder
8400382,8400179,101,Lage Zwaluwe,Den Dolder
8400387,8400179,131,Leeuwarden,Den Dolder
8400390,8400179,69,Leiden Centraal,Den Dolder
8400394,8400179,84,Lelystad Centrum,Den Dolder
8400417,8400179,36,Maarn,Den Dolder
8400424,8400179,137,Maastricht,Den Dolder
8400426,8400179,158,Maastricht Randwyck,Den Dolder
8400428,8400179,101,Mariënberg,Den Dolder
8400434,8400179,152,Meerssen,Den Dolder
8400435,8400179,91,Meppel,Den Dolder
8400452,8400179,36,Naarden-Bussum,Den Dolder
8400454,8400179,124,Nieuw Amsterdam,Den Dolder
8400457,8400179,189,Bad Nieuweschans,Den Dolder
8400470,8400179,77,Nijmegen,Den Dolder
8400487,8400179,94,Ommen,Den Dolder
8400495,8400179,78,Oss,Den Dolder
8400507,8400179,48,Rotterdam Alexander,Den Dolder
8400508,8400179,95,Purmerend,Den Dolder
8400517,8400179,56,Rhenen,Den Dolder
8400523,8400179,106,Roermond,Den Dolder
8400526,8400179,106,Roosendaal,Den Dolder
8400530,8400179,56,Rotterdam Centraal,Den Dolder
8400548,8400179,151,Landgraaf,Den Dolder
8400561,8400179,60,Schiphol Airport,Den Dolder
8400564,8400179,121,Sittard,Den Dolder
8400566,8400179,161,Sneek,Den Dolder
8400567,8400179,8,Soest,Den Dolder
8400578,8400179,101,Steenwijk,Den Dolder
8400596,8400179,72,Tiel,Den Dolder
8400597,8400179,74,Tilburg,Den Dolder
8400606,8400179,21,Utrecht Vaartsche Rijn,Den Dolder
8400615,8400179,88,Uitgeest,Den Dolder
8400620,8400179,7,Utrecht Overvecht,Den Dolder
8400621,8400179,11,Utrecht Centraal,Den Dolder
8400627,8400179,48,Veenendaal Centrum,Den Dolder
8400632,8400179,159,Valkenburg,Den Dolder
8400644,8400179,118,Venlo,Den Dolder
8400646,8400179,118,Venray,Den Dolder
8400652,8400179,157,Vlissingen,Den Dolder
8400684,8400179,92,Weert,Den Dolder
8400685,8400179,48,Weesp,Den Dolder
8400691,8400179,89,Wierden,Den Dolder
8400696,8400179,175,Winschoten,Den Dolder
8400698,8400179,127,Winterswijk,Den Dolder
8400702,8400179,36,Woerden,Den Dolder
8400731,8400179,59,Zaandam,Den Dolder
8400735,8400179,76,Zevenaar,Den Dolder
8400741,8400179,53,Zoetermeer,Den Dolder
8400742,8400179,164,Zuidbroek,Den Dolder
8400744,8400179,80,Zutphen,Den Dolder
8400747,8400179,64,Zwolle,Den Dolder
8400050,8400180,99,Alkmaar,Dordrecht
8400051,8400180,150,Almelo,Dordrecht
8400053,8400180,72,Alphen a/d Rijn,Dordrecht
8400055,8400180,85,Amersfoort,Dordrecht
8400057,8400180,78,Amsterdam Amstel,Dordrecht
8400058,8400180,58,Amsterdam Centraal,Dordrecht
8400059,8400180,58,Amsterdam Sloterdijk,Dordrecht
8400061,8400180,55,Amsterdam Zuid,Dordrecht
8400066,8400180,112,Apeldoorn,Dordrecht
8400071,8400180,110,Arnhem Centraal,Dordrecht
8400073,8400180,167,Assen,Dordrecht
8400074,8400180,66,Amsterdam Bijlmer ArenA,Dordrecht
8400080,8400180,83,Almere Centrum,Dordrecht
8400086,8400180,104,Baarn,Dordrecht
8400093,8400180,183,Emmen Zuid,Dordrecht
8400095,8400180,241,Veendam,Dordrecht
8400113,8400180,88,Beverwijk,Dordrecht
8400128,8400180,137,Boxmeer,Dordrecht
8400129,8400180,77,Boxtel,Dordrecht
8400131,8400180,20,Breda,Dordrecht
8400133,8400180,74,Breukelen,Dordrecht
8400139,8400180,216,Buitenpost,Dordrecht
8400151,8400180,91,Castricum,Dordrecht
8400153,8400180,171,Coevorden,Dordrecht
8400167,8400180,142,Dalfsen,Dordrecht
8400170,8400180,31,Delft,Dordrecht
8400173,8400180,123,Deventer,Dordrecht
8400176,8400180,133,Dieren,Dordrecht
8400177,8400180,149,Doetinchem,Dordrecht
8400179,8400180,85,Den Dolder,Dordrecht
8400182,8400180,84,Driebergen-Zeist,Dordrecht
8400194,8400180,63,Duivendrecht,Dordrecht
8400200,8400180,99,Ede-Wageningen,Dordrecht
8400206,8400180,72,Eindhoven,Dordrecht
8400207,8400180,117,Elst,Dordrecht
8400208,8400180,187,Emmen,Dordrecht
8400212,8400180,170,Enschede,Dordrecht
8400218,8400180,45,Etten-Leur,Dordrecht
8400244,8400180,55,Geldermalsen,Dordrecht
8400245,8400180,108,Geldrop,Dordrecht
8400256,8400180,25,Gorinchem,Dordrecht
8400258,8400180,44,Gouda,Dordrecht
8400263,8400180,184,Groningen,Dordrecht
8400280,8400180,37,Den Haag HS,Dordrecht
8400282,8400180,43,Den Haag Centraal,Dordrecht
8400285,8400180,75,Haarlem,Dordrecht
8400293,8400180,163,Hardenberg,Dordrecht
8400294,8400180,122,Harderwijk,Dordrecht
8400302,8400180,70,Heemstede-Aerdenhout,Dordrecht
8400305,8400180,170,Heerenveen,Dordrecht
8400306,8400180,110,Heerhugowaard,Dordrecht
8400307,8400180,160,Heerlen,Dordrecht
8400311,8400180,140,Den Helder,Dordrecht
8400313,8400180,85,Helmond,Dordrecht
8400316,8400180,162,Hengelo,Dordrecht
8400319,8400180,59,'s-Hertogenbosch,Dordrecht
8400322,8400180,87,Hilversum,Dordrecht
8400331,8400180,212,Hoogezand-Sappemeer,Dordrecht
8400337,8400180,97,Hoorn,Dordrecht
8400340,8400180,75,Houten,Dordrecht
8400355,8400180,174,Kerkrade Centrum,Dordrecht
8400364,8400180,78,Zaandijk Zaanse Schans,Dordrecht
8400380,8400180,42,Den Haag Laan v NOI,Dordrecht
8400382,8400180,11,Lage Zwaluwe,Dordrecht
8400387,8400180,186,Leeuwarden,Dordrecht
8400390,8400180,51,Leiden Centraal,Dordrecht
8400394,8400180,99,Lelystad Centrum,Dordrecht
8400417,8400180,96,Maarn,Dordrecht
8400424,8400180,145,Maastricht,Dordrecht
8400426,8400180,172,Maastricht Randwyck,Dordrecht
8400428,8400180,156,Mariënberg,Dordrecht
8400434,8400180,166,Meerssen,Dordrecht
8400435,8400180,146,Meppel,Dordrecht
8400452,8400180,85,Naarden-Bussum,Dordrecht
8400454,8400180,179,Nieuw Amsterdam,Dordrecht
8400457,8400180,244,Bad Nieuweschans,Dordrecht
8400470,8400180,105,Nijmegen,Dordrecht
8400487,8400180,149,Ommen,Dordrecht
8400495,8400180,79,Oss,Dordrecht
8400507,8400180,35,Rotterdam Alexander,Dordrecht
8400508,8400180,83,Purmerend,Dordrecht
8400517,8400180,120,Rhenen,Dordrecht
8400523,8400180,114,Roermond,Dordrecht
8400526,8400180,21,Roosendaal,Dordrecht
8400530,8400180,15,Rotterdam Centraal,Dordrecht
8400548,8400180,165,Landgraaf,Dordrecht
8400561,8400180,48,Schiphol Airport,Dordrecht
8400564,8400180,129,Sittard,Dordrecht
8400566,8400180,216,Sneek,Dordrecht
8400567,8400180,94,Soest,Dordrecht
8400578,8400180,156,Steenwijk,Dordrecht
8400596,8400180,89,Tiel,Dordrecht
8400597,8400180,43,Tilburg,Dordrecht
8400606,8400180,71,Utrecht Vaartsche Rijn,Dordrecht
8400615,8400180,93,Uitgeest,Dordrecht
8400620,8400180,75,Utrecht Overvecht,Dordrecht
8400621,8400180,63,Utrecht Centraal,Dordrecht
8400627,8400180,108,Veenendaal Centrum,Dordrecht
8400632,8400180,173,Valkenburg,Dordrecht
8400644,8400180,113,Venlo,Dordrecht
